"Año";"Periodo";"Nº de pernoctaciones"
"1999";"Junio";"59.659"
"2000";"Junio";"60.431"
"2001";"Junio";"68.332"
"2002";"Junio";"64.115"
"2003";"Junio";"69.020"
"2004";"Junio";"68.182"
"2005";"Junio";"69.184"
"2006";"Junio";"82.117"
"2007";"Junio";"81.641"
"2008";"Junio";"78.412"
"2009";"Junio";"77.031"
"2010";"Junio";"77.912"
"2011";"Junio";"83.387"
"2012";"Junio";"77.073"
"2013";"Junio";"79.549"
"2014";"Junio";"81.128"
"2015";"Junio";"87.513"
"2016";"Junio";"82.142"
"2017";"Junio";"94.310"
"2018";"Junio";"90.132"
"2019";"Junio";"89.630"
"2020";"Junio";"10.168"
"2021";"Junio";"46.973"
"2022";"Junio";"82.621"
"2023";"Junio";"92.307"
"2024";"Junio";"93.939"
;;
;;
"Métrica":"Nº de pernoctaciones"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de pernoctaciones"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/pernoctaciones-hoteleras-comunidad/43e52cba-8f32-4bc6-b1ee-2b8eb713c62b/rioja/303"
"Titulo":"Nº de pernoctaciones hoteleras en La Rioja﻿"
"Subtitulo":"Evolución del nº de pernoctaciones en establecimientos hoteleros"
