"Año";"Periodo";"Nº de viajeros"
"1999";"Junio";"34.866"
"2000";"Junio";"35.153"
"2001";"Junio";"37.133"
"2002";"Junio";"34.848"
"2003";"Junio";"39.139"
"2004";"Junio";"38.809"
"2005";"Junio";"42.708"
"2006";"Junio";"44.549"
"2007";"Junio";"45.938"
"2008";"Junio";"46.824"
"2009";"Junio";"43.871"
"2010";"Junio";"44.863"
"2011";"Junio";"49.002"
"2012";"Junio";"44.647"
"2013";"Junio";"46.286"
"2014";"Junio";"48.962"
"2015";"Junio";"52.532"
"2016";"Junio";"50.307"
"2017";"Junio";"51.959"
"2018";"Junio";"50.880"
"2019";"Junio";"51.599"
"2020";"Junio";"5.821"
"2021";"Junio";"27.579"
"2022";"Junio";"48.209"
"2023";"Junio";"52.115"
"2024";"Junio";"54.069"
;;
;;
"Métrica":"Nº de viajeros"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Viajeros"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/viajeros-alojado-hoteles-comunidad/5746331e-fee3-4330-8441-4f75c71db883/rioja/303"
"Titulo":"Nº de viajeros que se han alojado en hoteles de La Rioja﻿"
"Subtitulo":"Número total de viajeros que se han alojado en establecimientos hoteleros"
