"Año";"Periodo";"Variación (%) interanual del nº de viajeros"
"2019";"Julio";"-1,47"
"2019";"Agosto";"5,63"
"2019";"Septiembre";"-1,05"
"2019";"Octubre";"3,26"
"2019";"Noviembre";"-2,54"
"2019";"Diciembre";"-4,41"
"2020";"Enero";"9,97"
"2020";"Febrero";"21,1"
"2020";"Marzo";"-73,59"
"2020";"Abril";"-100"
"2020";"Mayo";"-98,52"
"2020";"Junio";"-88,72"
"2020";"Julio";"-45,25"
"2020";"Agosto";"-47,72"
"2020";"Septiembre";"-63,15"
"2020";"Octubre";"-69,89"
"2020";"Noviembre";"-86,57"
"2020";"Diciembre";"-79,67"
"2021";"Enero";"-83,75"
"2021";"Febrero";"-86,81"
"2021";"Marzo";"-7,94"
"2021";"Mayo";"2.205,58"
"2021";"Junio";"373,78"
"2021";"Julio";"51,34"
"2021";"Agosto";"91,03"
"2021";"Septiembre";"137,71"
"2021";"Octubre";"218,35"
"2021";"Noviembre";"534,93"
"2021";"Diciembre";"308,82"
"2022";"Enero";"308,56"
"2022";"Febrero";"466,13"
"2022";"Marzo";"225,25"
"2022";"Abril";"416,64"
"2022";"Mayo";"163,47"
"2022";"Junio";"74,8"
"2022";"Julio";"22,28"
"2022";"Agosto";"-4,19"
"2022";"Septiembre";"6,84"
"2022";"Octubre";"-1,56"
"2022";"Noviembre";"3,42"
"2022";"Diciembre";"11,57"
"2023";"Enero";"27,74"
"2023";"Febrero";"11,23"
"2023";"Marzo";"14,46"
"2023";"Abril";"7,01"
"2023";"Mayo";"3,21"
"2023";"Junio";"8,1"
"2023";"Julio";"1,21"
"2023";"Agosto";"0,97"
"2023";"Septiembre";"3,87"
"2023";"Octubre";"1,47"
"2023";"Noviembre";"2,81"
"2023";"Diciembre";"1,47"
"2024";"Enero";"10,15"
"2024";"Febrero";"5,82"
"2024";"Marzo";"25,24"
"2024";"Abril";"-4,22"
"2024";"Mayo";"16,08"
"2024";"Junio";"3,75"
;;
;;
"Métrica":"Variación (%) interanual del nº de viajeros"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Viajeros"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/variacion-viajeros-alojado-hoteles-comunidad/f12eb3e4-8ca0-4f38-a3e5-6d9e8de91113/rioja/303"
"Titulo":"Variación del nº de viajeros que se han alojado en hoteles de La Rioja﻿"
"Subtitulo":"Variación interanual del nº de viajeros que se han alojado en establecimientos hoteleros"
