"Año";"Periodo";"Variación (%) interanual del nº de pernoctaciones"
"2019";"Julio";"-3,87"
"2019";"Agosto";"0,78"
"2019";"Septiembre";"-1,94"
"2019";"Octubre";"0,58"
"2019";"Noviembre";"-5,65"
"2019";"Diciembre";"-4,7"
"2020";"Enero";"3,75"
"2020";"Febrero";"26,77"
"2020";"Marzo";"-71,56"
"2020";"Abril";"-100"
"2020";"Mayo";"-98,34"
"2020";"Junio";"-88,66"
"2020";"Julio";"-45,29"
"2020";"Agosto";"-47,27"
"2020";"Septiembre";"-63,47"
"2020";"Octubre";"-70,31"
"2020";"Noviembre";"-85,77"
"2020";"Diciembre";"-81,01"
"2021";"Enero";"-81,81"
"2021";"Febrero";"-85,84"
"2021";"Marzo";"-14,52"
"2021";"Mayo";"1.910,03"
"2021";"Junio";"361,97"
"2021";"Julio";"50,14"
"2021";"Agosto";"86,75"
"2021";"Septiembre";"117,92"
"2021";"Octubre";"216,79"
"2021";"Noviembre";"483,52"
"2021";"Diciembre";"348,1"
"2022";"Enero";"268,94"
"2022";"Febrero";"401,17"
"2022";"Marzo";"217,78"
"2022";"Abril";"413,54"
"2022";"Mayo";"163,45"
"2022";"Junio";"75,89"
"2022";"Julio";"20,96"
"2022";"Agosto";"0,1"
"2022";"Septiembre";"16,53"
"2022";"Octubre";"2,19"
"2022";"Noviembre";"3,99"
"2022";"Diciembre";"12,81"
"2023";"Enero";"28,57"
"2023";"Febrero";"18,46"
"2023";"Marzo";"20,23"
"2023";"Abril";"8,04"
"2023";"Mayo";"10,86"
"2023";"Junio";"11,72"
"2023";"Julio";"4,87"
"2023";"Agosto";"-3,69"
"2023";"Septiembre";"5,39"
"2023";"Octubre";"1,14"
"2023";"Noviembre";"4,76"
"2023";"Diciembre";"9,12"
"2024";"Enero";"8,29"
"2024";"Febrero";"4,24"
"2024";"Marzo";"20,96"
"2024";"Abril";"-4,85"
"2024";"Mayo";"7,57"
"2024";"Junio";"1,77"
;;
;;
"Métrica":"Variación (%) interanual del nº de pernoctaciones"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Número de pernoctaciones"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/variacion-interanual-pernoctaciones-hoteles-comunidad/91394a55-5ecd-4ee2-af0e-7802d4a981ea/rioja/303"
"Titulo":"Variación interanual del nº de pernoctaciones en hoteles de La Rioja﻿"
"Subtitulo":"Nº de pernoctaciones en establecimientos hoteleros de la comunidad"
