Tipo de alojamiento,Indicador,Periodo,DATA
TOTAL,Gasto total,2016,93087.88
TOTAL,Gasto total,2017,101962.17
TOTAL,Gasto total,2018,101126.5
TOTAL,Gasto total,2019,98201.73
TOTAL,Gasto total,2020,21835.28
TOTAL,Gasto total,2021,42027.48
TOTAL,Gasto total,2022,108604.09
TOTAL,Gasto total,2023,86729.82
TOTAL,Gasto medio por persona,2016,650.63
TOTAL,Gasto medio por persona,2017,778.49
TOTAL,Gasto medio por persona,2018,707.54
TOTAL,Gasto medio por persona,2019,703.97
TOTAL,Gasto medio por persona,2020,481.43
TOTAL,Gasto medio por persona,2021,877.16
TOTAL,Gasto medio por persona,2022,966.32
TOTAL,Gasto medio por persona,2023,733.71
TOTAL,Gasto medio diario por persona,2016,98.8
TOTAL,Gasto medio diario por persona,2017,99.29
TOTAL,Gasto medio diario por persona,2018,104.29
TOTAL,Gasto medio diario por persona,2019,103.32
TOTAL,Gasto medio diario por persona,2020,73.44
TOTAL,Gasto medio diario por persona,2021,116.83
TOTAL,Gasto medio diario por persona,2022,134.45
TOTAL,Gasto medio diario por persona,2023,131.99
TOTAL,Duración media de los viajes,2016,6.59
TOTAL,Duración media de los viajes,2017,7.84
TOTAL,Duración media de los viajes,2018,6.78
TOTAL,Duración media de los viajes,2019,6.81
TOTAL,Duración media de los viajes,2020,6.56
TOTAL,Duración media de los viajes,2021,7.51
TOTAL,Duración media de los viajes,2022,7.19
TOTAL,Duración media de los viajes,2023,5.56
De Mercado,Gasto total,2016,56846.8
De Mercado,Gasto total,2017,72771.02
De Mercado,Gasto total,2018,62248.23
De Mercado,Gasto total,2019,59260.06
De Mercado,Gasto total,2020,9577.29
De Mercado,Gasto total,2021,28650.12
De Mercado,Gasto total,2022,72807.93
De Mercado,Gasto total,2023,38329.94
De Mercado,Gasto medio por persona,2016,555.57
De Mercado,Gasto medio por persona,2017,810.68
De Mercado,Gasto medio por persona,2018,730.87
De Mercado,Gasto medio por persona,2019,678.32
De Mercado,Gasto medio por persona,2020,372.84
De Mercado,Gasto medio por persona,2021,866.34
De Mercado,Gasto medio por persona,2022,1006.05
De Mercado,Gasto medio por persona,2023,607.16
De Mercado,Gasto medio diario por persona,2016,145.05
De Mercado,Gasto medio diario por persona,2017,130.11
De Mercado,Gasto medio diario por persona,2018,178.33
De Mercado,Gasto medio diario por persona,2019,162.92
De Mercado,Gasto medio diario por persona,2020,182.89
De Mercado,Gasto medio diario por persona,2021,171.72
De Mercado,Gasto medio diario por persona,2022,210.14
De Mercado,Gasto medio diario por persona,2023,223.62
De Mercado,Duración media de los viajes,2016,3.83
De Mercado,Duración media de los viajes,2017,6.23
De Mercado,Duración media de los viajes,2018,4.1
De Mercado,Duración media de los viajes,2019,4.16
De Mercado,Duración media de los viajes,2020,2.04
De Mercado,Duración media de los viajes,2021,5.05
De Mercado,Duración media de los viajes,2022,4.79
De Mercado,Duración media de los viajes,2023,2.72
No de Mercado,Gasto total,2016,36241.08
No de Mercado,Gasto total,2017,29191.15
No de Mercado,Gasto total,2018,38878.27
No de Mercado,Gasto total,2019,38941.67
No de Mercado,Gasto total,2020,12257.99
No de Mercado,Gasto total,2021,13377.36
No de Mercado,Gasto total,2022,35796.16
No de Mercado,Gasto total,2023,48399.88
No de Mercado,Gasto medio por persona,2016,889.32
No de Mercado,Gasto medio por persona,2017,708.38
No de Mercado,Gasto medio por persona,2018,673.14
No de Mercado,Gasto medio por persona,2019,746.95
No de Mercado,Gasto medio por persona,2020,623.25
No de Mercado,Gasto medio por persona,2021,901.29
No de Mercado,Gasto medio por persona,2022,894.47
No de Mercado,Gasto medio por persona,2023,878.76
No de Mercado,Gasto medio diario por persona,2016,65.86
No de Mercado,Gasto medio diario por persona,2017,62.42
No de Mercado,Gasto medio diario por persona,2018,62.65
No de Mercado,Gasto medio diario por persona,2019,66.38
No de Mercado,Gasto medio diario por persona,2020,50.04
No de Mercado,Gasto medio diario por persona,2021,69.36
No de Mercado,Gasto medio diario por persona,2022,77.6
No de Mercado,Gasto medio diario por persona,2023,99.65
No de Mercado,Duración media de los viajes,2016,13.5
No de Mercado,Duración media de los viajes,2017,11.35
No de Mercado,Duración media de los viajes,2018,10.75
No de Mercado,Duración media de los viajes,2019,11.25
No de Mercado,Duración media de los viajes,2020,12.45
No de Mercado,Duración media de los viajes,2021,13
No de Mercado,Duración media de los viajes,2022,11.53
No de Mercado,Duración media de los viajes,2023,8.82
