País de residencia,Periodo,DATA
TOTAL,2016,150778.8
TOTAL,2017,124188.8
TOTAL,2018,142926.4
TOTAL,2019,139497.3
TOTAL,2020,45355.2
TOTAL,2021,47913
TOTAL,2022,105909.8
TOTAL,2023,118207.9
Europa,2016,139899.5
Europa,2017,108641
Europa,2018,130519.2
Europa,2019,122458.5
Europa,2020,43698.3
Europa,2021,43738.6
Europa,2022,92888.1
Europa,2023,106099.7
- UE27,2016,120389.2
- UE27,2017,85601.2
- UE27,2018,107388.3
- UE27,2019,104715.8
- UE27,2020,39080.7
- UE27,2021,38984.9
- UE27,2022,76246.5
- UE27,2023,90503.1
- Resto de Europa,2016,19510.3
- Resto de Europa,2017,23039.9
- Resto de Europa,2018,23131
- Resto de Europa,2019,17742.7
- Resto de Europa,2020,4617.6
- Resto de Europa,2021,4753.6
- Resto de Europa,2022,16641.5
- Resto de Europa,2023,15596.6
Resto del Mundo,2016,10879.3
Resto del Mundo,2017,15547.8
Resto del Mundo,2018,12407.2
Resto del Mundo,2019,17038.9
Resto del Mundo,2020,1657
Resto del Mundo,2021,4174.4
Resto del Mundo,2022,13021.7
Resto del Mundo,2023,12108.2
