Tipo de alojamiento,Periodo,DATA,Fecha
TOTAL,2016,150778.8,2016-01-01
TOTAL,2017,124188.8,2017-01-01
TOTAL,2018,142926.4,2018-01-01
TOTAL,2019,139497.3,2019-01-01
TOTAL,2020,45355.2,2020-01-01
TOTAL,2021,47913.0,2021-01-01
TOTAL,2022,105909.8,2022-01-01
TOTAL,2023,118207.9,2023-01-01
De Mercado,2016,104346.3,2016-01-01
De Mercado,2017,68325.4,2017-01-01
De Mercado,2018,99113.8,2018-01-01
De Mercado,2019,95501.2,2019-01-01
De Mercado,2020,22736.9,2020-01-01
De Mercado,2021,33676.5,2021-01-01
De Mercado,2022,79058.4,2022-01-01
De Mercado,2023,80533.9,2023-01-01
No de Mercado,2016,46432.4,2016-01-01
No de Mercado,2017,55863.4,2017-01-01
No de Mercado,2018,43812.6,2018-01-01
No de Mercado,2019,43996.2,2019-01-01
No de Mercado,2020,22618.4,2020-01-01
No de Mercado,2021,14236.5,2021-01-01
No de Mercado,2022,26851.3,2022-01-01
No de Mercado,2023,37673.9,2023-01-01
