Periodo,Ubicación establecimiento,DATA
2015M12,TOTAL,1050.3
2015M12,Logrońo y Alrededores,168
2015M12,Resto,882.3
2016M01,TOTAL,995.36
2016M01,Logrońo y Alrededores,168
2016M01,Resto,827.36
2016M02,TOTAL,1036.74
2016M02,Logrońo y Alrededores,168
2016M02,Resto,868.74
2016M03,TOTAL,1088.29
2016M03,Logrońo y Alrededores,168
2016M03,Resto,920.29
2016M04,TOTAL,1115.36
2016M04,Logrońo y Alrededores,168
2016M04,Resto,947.36
2016M05,TOTAL,1112.91
2016M05,Logrońo y Alrededores,168
2016M05,Resto,944.91
2016M06,TOTAL,1091.93
2016M06,Logrońo y Alrededores,168
2016M06,Resto,923.93
2016M07,TOTAL,1137.99
2016M07,Logrońo y Alrededores,168
2016M07,Resto,969.99
2016M08,TOTAL,1123.12
2016M08,Logrońo y Alrededores,168
2016M08,Resto,955.12
2016M09,TOTAL,1089.58
2016M09,Logrońo y Alrededores,149.46
2016M09,Resto,940.12
2016M10,TOTAL,1156.67
2016M10,Logrońo y Alrededores,174
2016M10,Resto,982.67
2016M11,TOTAL,1148.13
2016M11,Logrońo y Alrededores,174
2016M11,Resto,974.13
2016M12,TOTAL,1040.6
2016M12,Logrońo y Alrededores,174
2016M12,Resto,866.6
2017M01,TOTAL,1012.68
2017M01,Logrońo y Alrededores,174
2017M01,Resto,838.68
2017M02,TOTAL,1108.17
2017M02,Logrońo y Alrededores,174
2017M02,Resto,934.17
2017M03,TOTAL,1144.07
2017M03,Logrońo y Alrededores,174
2017M03,Resto,970.07
2017M04,TOTAL,1192.95
2017M04,Logrońo y Alrededores,174
2017M04,Resto,1018.95
2017M05,TOTAL,1183.09
2017M05,Logrońo y Alrededores,174
2017M05,Resto,1009.09
2017M06,TOTAL,1213.94
2017M06,Logrońo y Alrededores,174
2017M06,Resto,1039.94
2017M07,TOTAL,1222.65
2017M07,Logrońo y Alrededores,174
2017M07,Resto,1048.65
2017M08,TOTAL,1247.47
2017M08,Logrońo y Alrededores,174
2017M08,Resto,1073.47
2017M09,TOTAL,1209.92
2017M09,Logrońo y Alrededores,145
2017M09,Resto,1064.92
2017M10,TOTAL,1194.69
2017M10,Logrońo y Alrededores,158.18
2017M10,Resto,1036.51
2017M11,TOTAL,1180.39
2017M11,Logrońo y Alrededores,158.18
2017M11,Resto,1022.21
2017M12,TOTAL,1077.57
2017M12,Logrońo y Alrededores,158.18
2017M12,Resto,919.39
2018M01,TOTAL,945.2
2018M01,Logrońo y Alrededores,134.12
2018M01,Resto,811.07
2018M02,TOTAL,1095.03
2018M02,Logrońo y Alrededores,148.62
2018M02,Resto,946.41
2018M03,TOTAL,1157.11
2018M03,Logrońo y Alrededores,148.62
2018M03,Resto,1008.49
2018M04,TOTAL,1159.53
2018M04,Logrońo y Alrededores,137.15
2018M04,Resto,1022.39
2018M05,TOTAL,1145.75
2018M05,Logrońo y Alrededores,148.62
2018M05,Resto,997.12
2018M06,TOTAL,1142.59
2018M06,Logrońo y Alrededores,126.55
2018M06,Resto,1016.05
2018M07,TOTAL,1091.54
2018M07,Logrońo y Alrededores,153.07
2018M07,Resto,938.47
2018M08,TOTAL,1113.79
2018M08,Logrońo y Alrededores,153.07
2018M08,Resto,960.72
2018M09,TOTAL,1123.04
2018M09,Logrońo y Alrededores,145.6
2018M09,Resto,977.44
2018M10,TOTAL,1142.86
2018M10,Logrońo y Alrededores,153.07
2018M10,Resto,989.79
2018M11,TOTAL,1131.22
2018M11,Logrońo y Alrededores,153.07
2018M11,Resto,978.16
2018M12,TOTAL,1089.84
2018M12,Logrońo y Alrededores,153.07
2018M12,Resto,936.77
2019M01,TOTAL,982.63
2019M01,Logrońo y Alrededores,153.07
2019M01,Resto,829.56
2019M02,TOTAL,1030.79
2019M02,Logrońo y Alrededores,153.07
2019M02,Resto,877.73
2019M03,TOTAL,1057.36
2019M03,Logrońo y Alrededores,153.07
2019M03,Resto,904.29
2019M04,TOTAL,1067.25
2019M04,Logrońo y Alrededores,153.07
2019M04,Resto,914.19
2019M05,TOTAL,1066.78
2019M05,Logrońo y Alrededores,153.07
2019M05,Resto,913.72
2019M06,TOTAL,1152.75
2019M06,Logrońo y Alrededores,167.64
2019M06,Resto,985.1
2019M07,TOTAL,1163.92
2019M07,Logrońo y Alrededores,167.64
2019M07,Resto,996.27
2019M08,TOTAL,1171.64
2019M08,Logrońo y Alrededores,167.64
2019M08,Resto,1003.99
2019M09,TOTAL,1210.05
2019M09,Logrońo y Alrededores,167.64
2019M09,Resto,1042.41
2019M10,TOTAL,1200.29
2019M10,Logrońo y Alrededores,167.64
2019M10,Resto,1032.64
2019M11,TOTAL,1192.56
2019M11,Logrońo y Alrededores,156.74
2019M11,Resto,1035.82
2019M12,TOTAL,1147.55
2019M12,Logrońo y Alrededores,167.64
2019M12,Resto,979.91
2020M01,TOTAL,961.34
2020M01,Logrońo y Alrededores,120
2020M01,Resto,841.34
2020M02,TOTAL,1059.65
2020M02,Logrońo y Alrededores,146.25
2020M02,Resto,913.4
2020M03,TOTAL,496.16
2020M03,Logrońo y Alrededores,49.23
2020M03,Resto,446.93
2020M05,TOTAL,307.44
2020M05,Logrońo y Alrededores,36.29
2020M05,Resto,271.15
2020M06,TOTAL,850.63
2020M06,Logrońo y Alrededores,86.25
2020M06,Resto,764.38
2020M07,TOTAL,996.49
2020M07,Logrońo y Alrededores,87.8
2020M07,Resto,908.68
2020M08,TOTAL,1055.04
2020M08,Logrońo y Alrededores,87.8
2020M08,Resto,967.24
2020M09,TOTAL,1047.63
2020M09,Logrońo y Alrededores,101.25
2020M09,Resto,946.38
2020M10,TOTAL,963.25
2020M10,Logrońo y Alrededores,110.7
2020M10,Resto,852.55
2020M11,TOTAL,933.62
2020M11,Logrońo y Alrededores,82
2020M11,Resto,851.62
2020M12,TOTAL,908.1
2020M12,Logrońo y Alrededores,86.67
2020M12,Resto,821.43
2021M01,TOTAL,818.7
2021M01,Logrońo y Alrededores,93.72
2021M01,Resto,724.98
2021M02,TOTAL,848.7
2021M02,Logrońo y Alrededores,76.36
2021M02,Resto,772.34
2021M03,TOTAL,916.49
2021M03,Logrońo y Alrededores,94.4
2021M03,Resto,822.09
2021M04,TOTAL,1013.4
2021M04,Logrońo y Alrededores,120
2021M04,Resto,893.4
2021M05,TOTAL,1013.4
2021M05,Logrońo y Alrededores,120
2021M05,Resto,893.4
2021M06,TOTAL,1059.05
2021M06,Logrońo y Alrededores,126
2021M06,Resto,933.05
2021M07,TOTAL,1107.55
2021M07,Logrońo y Alrededores,110.25
2021M07,Resto,997.3
2021M08,TOTAL,1077.17
2021M08,Logrońo y Alrededores,126
2021M08,Resto,951.17
2021M09,TOTAL,1052.59
2021M09,Logrońo y Alrededores,95.49
2021M09,Resto,957.1
2021M10,TOTAL,1069.26
2021M10,Logrońo y Alrededores,126
2021M10,Resto,943.26
2021M11,TOTAL,1069.69
2021M11,Logrońo y Alrededores,126
2021M11,Resto,943.69
2021M12,TOTAL,1006.71
2021M12,Logrońo y Alrededores,116.52
2021M12,Resto,890.19
2022M01,TOTAL,923.78
2022M01,Logrońo y Alrededores,103.76
2022M01,Resto,820.01
2022M02,TOTAL,955.8
2022M02,Logrońo y Alrededores,103.76
2022M02,Resto,852.04
2022M03,TOTAL,995.69
2022M03,Logrońo y Alrededores,92.69
2022M03,Resto,903
2022M04,TOTAL,1012.28
2022M04,Logrońo y Alrededores,103.76
2022M04,Resto,908.52
2022M05,TOTAL,1026.69
2022M05,Logrońo y Alrededores,97.39
2022M05,Resto,929.31
2022M06,TOTAL,1032.23
2022M06,Logrońo y Alrededores,103.76
2022M06,Resto,928.47
2022M07,TOTAL,997.36
2022M07,Logrońo y Alrededores,103.76
2022M07,Resto,893.59
2022M08,TOTAL,1089.2
2022M08,Logrońo y Alrededores,103.76
2022M08,Resto,985.44
2022M09,TOTAL,1055.56
2022M09,Logrońo y Alrededores,103.76
2022M09,Resto,951.8
2022M10,TOTAL,1087.8
2022M10,Logrońo y Alrededores,93.39
2022M10,Resto,994.4
2022M11,TOTAL,1066.84
2022M11,Logrońo y Alrededores,95.2
2022M11,Resto,971.64
2022M12,TOTAL,1038.07
2022M12,Logrońo y Alrededores,90.38
2022M12,Resto,947.69
2023M01,TOTAL,1068.69
2023M01,Logrońo y Alrededores,116.1
2023M01,Resto,952.59
2023M02,TOTAL,1124.68
2023M02,Logrońo y Alrededores,117
2023M02,Resto,1007.68
2023M03,TOTAL,1194.98
2023M03,Logrońo y Alrededores,98.67
2023M03,Resto,1096.31
2023M04,TOTAL,1292.63
2023M04,Logrońo y Alrededores,91
2023M04,Resto,1201.63
2023M05,TOTAL,1224.08
2023M05,Logrońo y Alrededores,84.68
2023M05,Resto,1139.4
2023M06,TOTAL,1267.27
2023M06,Logrońo y Alrededores,84
2023M06,Resto,1183.27
2023M07,TOTAL,1241.63
2023M07,Logrońo y Alrededores,81.29
2023M07,Resto,1160.33
2023M08,TOTAL,1252.11
2023M08,Logrońo y Alrededores,105
2023M08,Resto,1147.11
2023M09,TOTAL,1192.4
2023M09,Logrońo y Alrededores,82.83
2023M09,Resto,1109.57
2023M10,TOTAL,1226.61
2023M10,Logrońo y Alrededores,89.19
2023M10,Resto,1137.41
2023M11,TOTAL,1093.56
2023M11,Logrońo y Alrededores,106.4
2023M11,Resto,987.16
2023M12,TOTAL,1128.63
2023M12,Logrońo y Alrededores,126
2023M12,Resto,1002.63
2024M01,TOTAL,897.06
2024M01,Logrońo y Alrededores,94.67
2024M01,Resto,802.39
2024M02,TOTAL,951.83
2024M02,Logrońo y Alrededores,84
2024M02,Resto,867.83
2024M03,TOTAL,1108.33
2024M03,Logrońo y Alrededores,89.42
2024M03,Resto,1018.91
